sesion,capitulo,titulo,slide_concepto,slide_desarrollo,slide_ejemplo,seccion,fuente,industria,archivo
00-preparacion,11,Búsqueda semántica,31,32,33,Fundamentos §7 · B,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/00-preparacion/conceptos-previos/fundamentos-llm.md,Andina Seguros,00-preparacion-editable-v2.pptx
00-preparacion,12,Costo de una conversación,34,35,36,Fundamentos §8 · A,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/00-preparacion/code/04_costo.py,AndesMóvil,00-preparacion-editable-v2.pptx
00-preparacion,13,Reducir contexto con criterio,37,38,39,Fundamentos §8 · B,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/00-preparacion/code/04_costo.py,Banco Inti,00-preparacion-editable-v2.pptx
00-preparacion,14,Pesos abiertos e inferencia en nube,40,41,42,Fundamentos §9,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/00-preparacion/conceptos-previos/fundamentos-llm.md,AndesMóvil,00-preparacion-editable-v2.pptx
00-preparacion,15,"Prompt, RAG y fine-tuning",43,44,45,Fundamentos §10,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/00-preparacion/conceptos-previos/fundamentos-llm.md,AndesMóvil,00-preparacion-editable-v2.pptx
00-preparacion,16,Python: aislar y verificar,46,47,48,Python y entorno §§1–2,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/00-preparacion/conceptos-previos/python-y-entorno.md,MercaSur,00-preparacion-editable-v2.pptx
00-preparacion,17,Configuración y secretos,49,50,51,Python y entorno §§3–4,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/00-preparacion/conceptos-previos/python-y-entorno.md,Banco Inti,00-preparacion-editable-v2.pptx
00-preparacion,18,Pydantic y el contrato de salida,52,53,54,Python y entorno §5,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/00-preparacion/conceptos-previos/python-y-entorno.md,Banco Inti,00-preparacion-editable-v2.pptx
00-preparacion,19,"Tres cuentas, tres funciones",55,56,57,Alta de cuentas §§1–3,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/00-preparacion/conceptos-previos/alta-de-cuentas.md,MercaSur,00-preparacion-editable-v2.pptx
00-preparacion,20,Diagnóstico por capas,58,59,60,Errores frecuentes y verificación,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/00-preparacion/conceptos-previos/python-y-entorno.md,AndesMóvil,00-preparacion-editable-v2.pptx
00-preparacion,21,Cuatro demos para observar,61,62,63,code/README.md,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/00-preparacion/code/README.md,Andina Seguros,00-preparacion-editable-v2.pptx
00-preparacion,22,Salida de S0 y siguiente paso,64,65,66,Autoevaluación y checklist,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/00-preparacion/autoevaluacion.md,Banco Inti,00-preparacion-editable-v2.pptx
01-fundamentos-agentes,1,Objetivos de aprendizaje,1,2,3,§1,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-1-fundamentos/sesion-01-fundamentos-agentes/README.md,AndesMóvil,01-fundamentos-agentes-editable-v2.pptx
01-fundamentos-agentes,2,LLM y fuente de verdad,4,5,6,§2,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-1-fundamentos/sesion-01-fundamentos-agentes/README.md,AndesMóvil,01-fundamentos-agentes-editable-v2.pptx
01-fundamentos-agentes,3,Un LLM solo no es un agente,7,8,9,§3,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-1-fundamentos/sesion-01-fundamentos-agentes/README.md,MercaSur,01-fundamentos-agentes-editable-v2.pptx
01-fundamentos-agentes,4,El ciclo del agente,10,11,12,§4,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-1-fundamentos/sesion-01-fundamentos-agentes/README.md,AndesMóvil,01-fundamentos-agentes-editable-v2.pptx
01-fundamentos-agentes,5,Workflow frente a agente,13,14,15,§5,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-1-fundamentos/sesion-01-fundamentos-agentes/README.md,Banco Inti,01-fundamentos-agentes-editable-v2.pptx
01-fundamentos-agentes,6,Anatomía de LangChain 1.x,16,17,18,§6,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-1-fundamentos/sesion-01-fundamentos-agentes/README.md,Andina Seguros,01-fundamentos-agentes-editable-v2.pptx
01-fundamentos-agentes,7,Modelos abiertos y cerrados,19,20,21,§7,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-1-fundamentos/sesion-01-fundamentos-agentes/README.md,MercaSur,01-fundamentos-agentes-editable-v2.pptx
01-fundamentos-agentes,8,La capa comun/provider.py,22,23,24,§8,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-1-fundamentos/sesion-01-fundamentos-agentes/README.md,AndesMóvil,01-fundamentos-agentes-editable-v2.pptx
01-fundamentos-agentes,9,De la apertura al laboratorio L1,25,26,27,§9 y lab/README.md,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-1-fundamentos/sesion-01-fundamentos-agentes/README.md,Banco Inti,01-fundamentos-agentes-editable-v2.pptx
01-fundamentos-agentes,10,Elección del track,28,29,30,§10,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-1-fundamentos/sesion-01-fundamentos-agentes/README.md,Andina Seguros,01-fundamentos-agentes-editable-v2.pptx
01-fundamentos-agentes,11,Alcance de S1 y evolución posterior,31,32,33,§11,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-1-fundamentos/sesion-01-fundamentos-agentes/README.md,MercaSur,01-fundamentos-agentes-editable-v2.pptx
01-fundamentos-agentes,12,Siguiente paso: del texto al contrato,34,35,36,§12,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-1-fundamentos/sesion-01-fundamentos-agentes/README.md,Banco Inti,01-fundamentos-agentes-editable-v2.pptx
02-ecosistema-langchain,1,Del primer llamado al primer contrato,1,2,3,Objetivos y §0,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-1-fundamentos/sesion-02-ecosistema-langchain/README.md,MercaSur,02-ecosistema-langchain-editable.pptx
02-ecosistema-langchain,2,"Mensajes, roles y statelessness",4,5,6,§1,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-1-fundamentos/sesion-02-ecosistema-langchain/README.md,AndesMóvil,02-ecosistema-langchain-editable.pptx
02-ecosistema-langchain,3,"Rol, contexto, tarea y formato",7,8,9,§2,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-1-fundamentos/sesion-02-ecosistema-langchain/README.md,Banco Inti,02-ecosistema-langchain-editable.pptx
02-ecosistema-langchain,4,Few-shot para desambiguar,10,11,12,§3 · regla A5,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-1-fundamentos/sesion-02-ecosistema-langchain/README.md,MercaSur,02-ecosistema-langchain-editable.pptx
02-ecosistema-langchain,5,Salida estructurada y validación,13,14,15,§4 y comun/structured.py,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-1-fundamentos/sesion-02-ecosistema-langchain/README.md,Andina Seguros,02-ecosistema-langchain-editable.pptx
02-ecosistema-langchain,6,Medir el clasificador en L2,16,17,18,§5 y lab/README.md,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-1-fundamentos/sesion-02-ecosistema-langchain/README.md,AndesMóvil,02-ecosistema-langchain-editable.pptx
02-ecosistema-langchain,7,Puente hacia herramientas,19,20,21,Qué NO entra hoy y conexión L3/L4,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-1-fundamentos/sesion-02-ecosistema-langchain/README.md,Banco Inti,02-ecosistema-langchain-editable.pptx
03-tools-api-externa,1,Del conocimiento a la consulta,1,2,3,Objetivos y §0,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-1-fundamentos/sesion-03-tools-api-externa/README.md,MercaSur,03-tools-api-externa-editable-v2.pptx
03-tools-api-externa,2,Function calling: proponer y ejecutar,4,5,6,§1,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-1-fundamentos/sesion-03-tools-api-externa/README.md,AndesMóvil,03-tools-api-externa-editable-v2.pptx
03-tools-api-externa,3,Docstring y esquema de argumentos,7,8,9,§2 · regla A2,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-1-fundamentos/sesion-03-tools-api-externa/README.md,Banco Inti,03-tools-api-externa-editable-v2.pptx
03-tools-api-externa,4,Errores que el modelo puede usar,10,11,12,§3 · regla A4,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-1-fundamentos/sesion-03-tools-api-externa/README.md,Andina Seguros,03-tools-api-externa-editable-v2.pptx
03-tools-api-externa,5,Bucle manual y create_agent,13,14,15,§4,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-1-fundamentos/sesion-03-tools-api-externa/README.md,MercaSur,03-tools-api-externa-editable-v2.pptx
03-tools-api-externa,6,Laboratorio L3 y Assignment A1,16,17,18,§5 y lab/README.md,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-1-fundamentos/sesion-03-tools-api-externa/README.md,AndesMóvil,03-tools-api-externa-editable-v2.pptx
03-tools-api-externa,7,Del primer conector al catálogo,19,20,21,proyecto-final y Qué NO entra hoy,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-1-fundamentos/sesion-03-tools-api-externa/README.md,Banco Inti,03-tools-api-externa-editable-v2.pptx
04-tools-multiples,1,De una tool a cuatro,1,2,3,Objetivos y §0,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-2-agentes-avanzados/sesion-04-tools-multiples/README.md,MercaSur,04-tools-multiples-editable-v2.pptx
04-tools-multiples,2,Responsabilidad única en el catálogo,4,5,6,§1,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-2-agentes-avanzados/sesion-04-tools-multiples/README.md,MercaSur,04-tools-multiples-editable-v2.pptx
04-tools-multiples,3,Selección dinámica y confusiones,7,8,9,§2,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-2-agentes-avanzados/sesion-04-tools-multiples/README.md,Banco Inti,04-tools-multiples-editable-v2.pptx
04-tools-multiples,4,Few-shot para elegir herramientas,10,11,12,§2.1 · regla A5,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-2-agentes-avanzados/sesion-04-tools-multiples/README.md,Banco Inti,04-tools-multiples-editable-v2.pptx
04-tools-multiples,5,Cuatro tools núcleo y alcance,13,14,15,§3 · regla A1,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-2-agentes-avanzados/sesion-04-tools-multiples/README.md,Andina Seguros,04-tools-multiples-editable-v2.pptx
04-tools-multiples,6,Idempotencia y límite de iteraciones,16,17,18,§4 · regla A4,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-2-agentes-avanzados/sesion-04-tools-multiples/README.md,AndesMóvil,04-tools-multiples-editable-v2.pptx
04-tools-multiples,7,MCP: exponer y descubrir tools,19,20,21,Pre-work MCP y conceptos-previos,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-2-agentes-avanzados/sesion-04-tools-multiples/README.md,MercaSur,04-tools-multiples-editable-v2.pptx
04-tools-multiples,8,Laboratorio L4: integrar y medir,22,23,24,"§5, proyecto-final y lab/README.md",https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-2-agentes-avanzados/sesion-04-tools-multiples/README.md,Andina Seguros,04-tools-multiples-editable-v2.pptx
05-memoria-rag,1,No recuerda y no sabe,1,2,3,Objetivos y §0,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-2-agentes-avanzados/sesion-05-memoria-rag/README.md,MercaSur,05-memoria-rag-editable-v2.pptx
05-memoria-rag,2,Estado por thread_id,4,5,6,§1 y solucion/*/memory.py,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-2-agentes-avanzados/sesion-05-memoria-rag/README.md,Banco Inti,05-memoria-rag-editable-v2.pptx
05-memoria-rag,3,Embeddings del dominio,7,8,9,§2 y comun/provider.py,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-2-agentes-avanzados/sesion-05-memoria-rag/README.md,AndesMóvil,05-memoria-rag-editable-v2.pptx
05-memoria-rag,4,Chunking y contexto de la cláusula,10,11,12,§3,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-2-agentes-avanzados/sesion-05-memoria-rag/README.md,Andina Seguros,05-memoria-rag-editable-v2.pptx
05-memoria-rag,5,"Colección, punto y payload",13,14,15,§4,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-2-agentes-avanzados/sesion-05-memoria-rag/README.md,MercaSur,05-memoria-rag-editable-v2.pptx
05-memoria-rag,6,RAG tradicional y RAG agéntico,16,17,18,§5,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-2-agentes-avanzados/sesion-05-memoria-rag/README.md,Banco Inti,05-memoria-rag-editable-v2.pptx
05-memoria-rag,7,Recuperar y citar: salvaguarda A6,19,20,21,§6 y comun/prompts_industria.py,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-2-agentes-avanzados/sesion-05-memoria-rag/README.md,Andina Seguros,05-memoria-rag-editable-v2.pptx
05-memoria-rag,8,Conocimiento recuperable y actualización,22,23,24,Demo paramétrico vs recuperable,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-2-agentes-avanzados/sesion-05-memoria-rag/README.md,AndesMóvil,05-memoria-rag-editable-v2.pptx
05-memoria-rag,9,Laboratorio L5: integrar memoria y RAG,25,26,27,lab/README.md y requisitos de entrada,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-2-agentes-avanzados/sesion-05-memoria-rag/README.md,MercaSur,05-memoria-rag-editable-v2.pptx
06-automatizacion-guardrails,1,De habilitar a limitar,1,2,3,Objetivos y §0,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-2-agentes-avanzados/sesion-06-automatizacion-guardrails/README.md,Banco Inti,06-automatizacion-guardrails-editable-v2.pptx
06-automatizacion-guardrails,2,Inyección de prompt,4,5,6,§1,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-2-agentes-avanzados/sesion-06-automatizacion-guardrails/README.md,AndesMóvil,06-automatizacion-guardrails-editable-v2.pptx
06-automatizacion-guardrails,3,PII y minimización,7,8,9,§2 y demos de entrada/salida,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-2-agentes-avanzados/sesion-06-automatizacion-guardrails/README.md,Andina Seguros,06-automatizacion-guardrails-editable-v2.pptx
06-automatizacion-guardrails,4,Límites de actuación,10,11,12,§3 y demo de acción,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-2-agentes-avanzados/sesion-06-automatizacion-guardrails/README.md,Banco Inti,06-automatizacion-guardrails-editable-v2.pptx
06-automatizacion-guardrails,5,Guardrail de salida,13,14,15,§4 y code/03_guardrail_salida.py,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-2-agentes-avanzados/sesion-06-automatizacion-guardrails/README.md,AndesMóvil,06-automatizacion-guardrails-editable-v2.pptx
06-automatizacion-guardrails,6,Middleware y puntos de enganche,16,17,18,§4 y solucion/*/agent.py,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-2-agentes-avanzados/sesion-06-automatizacion-guardrails/README.md,MercaSur,06-automatizacion-guardrails-editable-v2.pptx
06-automatizacion-guardrails,7,Límites por industria y derivación,19,20,21,§5,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-2-agentes-avanzados/sesion-06-automatizacion-guardrails/README.md,Andina Seguros,06-automatizacion-guardrails-editable-v2.pptx
06-automatizacion-guardrails,8,Laboratorio L6: probar los límites,22,23,24,§6 y lab/README.md,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-2-agentes-avanzados/sesion-06-automatizacion-guardrails/README.md,Banco Inti,06-automatizacion-guardrails-editable-v2.pptx
07-hackathon-m2,1,Probar comportamiento no determinístico,1,2,3,Objetivos y §0,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-2-agentes-avanzados/sesion-07-hackathon-m2/README.md,AndesMóvil,07-hackathon-m2-editable.pptx
07-hackathon-m2,2,Guardrails y estrés: fallos diferentes,4,5,6,§1,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-2-agentes-avanzados/sesion-07-hackathon-m2/README.md,MercaSur,07-hackathon-m2-editable.pptx
07-hackathon-m2,3,Cuatro familias de casos borde,7,8,9,§0 y §2,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-2-agentes-avanzados/sesion-07-hackathon-m2/README.md,Banco Inti,07-hackathon-m2-editable.pptx
07-hackathon-m2,4,Clínica de 45 minutos,10,11,12,§2,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-2-agentes-avanzados/sesion-07-hackathon-m2/README.md,Andina Seguros,07-hackathon-m2-editable.pptx
07-hackathon-m2,5,Demo y argumentación del Proyecto M2,13,14,15,§3 y §4,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-2-agentes-avanzados/sesion-07-hackathon-m2/README.md,MercaSur,07-hackathon-m2-editable.pptx
07-hackathon-m2,6,Cerrar M2 y preparar producción,16,17,18,§4–§5 y lab/README.md,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-2-agentes-avanzados/sesion-07-hackathon-m2/README.md,AndesMóvil,07-hackathon-m2-editable.pptx
08-despliegue-hf-spaces,1,Del script a un servicio invocable,1,2,3,Objetivos y §0,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-3-produccion/sesion-08-despliegue-hf-spaces/README.md,MercaSur,08-despliegue-hf-spaces-editable-v2.pptx
08-despliegue-hf-spaces,2,Configuración por entorno,4,5,6,§1 · 12-Factor,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-3-produccion/sesion-08-despliegue-hf-spaces/README.md,Banco Inti,08-despliegue-hf-spaces-editable-v2.pptx
08-despliegue-hf-spaces,3,Dockerfile: describir el arranque,7,8,9,§2 y solucion/*/Dockerfile,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-3-produccion/sesion-08-despliegue-hf-spaces/README.md,AndesMóvil,08-despliegue-hf-spaces-editable-v2.pptx
08-despliegue-hf-spaces,4,FastAPI: health y chat,10,11,12,§3,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-3-produccion/sesion-08-despliegue-hf-spaces/README.md,MercaSur,08-despliegue-hf-spaces-editable-v2.pptx
08-despliegue-hf-spaces,5,Secretos en el Space,13,14,15,§4,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-3-produccion/sesion-08-despliegue-hf-spaces/README.md,Banco Inti,08-despliegue-hf-spaces-editable-v2.pptx
08-despliegue-hf-spaces,6,Cold start y latencia percibida,16,17,18,§5,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-3-produccion/sesion-08-despliegue-hf-spaces/README.md,AndesMóvil,08-despliegue-hf-spaces-editable-v2.pptx
08-despliegue-hf-spaces,7,Laboratorio L8: despliegue verificable,19,20,21,§6 y lab/README.md,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-3-produccion/sesion-08-despliegue-hf-spaces/README.md,Andina Seguros,08-despliegue-hf-spaces-editable-v2.pptx
08-despliegue-hf-spaces,8,De disponibilidad a observabilidad,22,23,24,§7 y conexión S9,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-3-produccion/sesion-08-despliegue-hf-spaces/README.md,MercaSur,08-despliegue-hf-spaces-editable-v2.pptx
09-observabilidad-langfuse,1,Hacer visible la ejecución,1,2,3,Objetivos y §0,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-3-produccion/sesion-09-observabilidad-langfuse/README.md,AndesMóvil,09-observabilidad-langfuse-editable.pptx
09-observabilidad-langfuse,2,"Logs, métricas y trazas",4,5,6,§1,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-3-produccion/sesion-09-observabilidad-langfuse/README.md,Banco Inti,09-observabilidad-langfuse-editable.pptx
09-observabilidad-langfuse,3,Anatomía de una traza,7,8,9,§2,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-3-produccion/sesion-09-observabilidad-langfuse/README.md,AndesMóvil,09-observabilidad-langfuse-editable.pptx
09-observabilidad-langfuse,4,"p50, p95 y promedio",10,11,12,§3,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-3-produccion/sesion-09-observabilidad-langfuse/README.md,MercaSur,09-observabilidad-langfuse-editable.pptx
09-observabilidad-langfuse,5,PII en la telemetría,13,14,15,§4 y comun/observability.py,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-3-produccion/sesion-09-observabilidad-langfuse/README.md,Andina Seguros,09-observabilidad-langfuse-editable.pptx
09-observabilidad-langfuse,6,Laboratorio L9: dos cuellos de botella,16,17,18,§5 y lab/README.md,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/modulo-3-produccion/sesion-09-observabilidad-langfuse/README.md,Banco Inti,09-observabilidad-langfuse-editable.pptx
